+-----+--------------------------------------------+-------------------------+-------+----------+------+-------+---------+------------+--------------------------------------------------------+---------------------+
|  ID | Registry name                              | Biome name              | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                   | Valid for           |
| 164 | minecraft:mutated_savanna_rock             | Savanna Plateau M       |  1.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SAVANNA, SPARSE                 | stronghold          |
| 165 | minecraft:mutated_mesa                     | Mesa (Bryce)            |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                       | stronghold          |
| 166 | minecraft:mutated_mesa_rock                | Mesa Plateau F M        |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SPARSE                          | stronghold          |
| 167 | minecraft:mutated_mesa_clear_rock          | Mesa Plateau M          |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                       | stronghold          |
| 168 | traverse:cliffs                            | Cliffs                  |  0.40 | MEDIUM   | 1.20 | false | false   | COOL       | COLD, HILLS, MOUNTAIN                                  | stronghold          |
| 169 | traverse:glacier                           | Glacier                 |  0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, MOUNTAIN, SNOWY                                  | stronghold          |
| 170 | traverse:glacier_spikes                    | Glacier Spikes          |  0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, MOUNTAIN, SNOWY                                  | stronghold          |
| 171 | traverse:snowy_coniferous_forest           | Snowy Coniferous Forest |  0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, CONIFEROUS, FOREST, SNOWY                        | stronghold          |
| 172 | traverse:lush_hills                        | Lush Hills              |  0.50 | MEDIUM   | 0.80 | false | false   | COOL       | HILLS, LUSH, SPARSE, WET                               | stronghold, village |
| 173 | traverse:desert_shrubland                  | Desert Shrubland        |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DEAD, DRY, HOT, SANDY                                  | stronghold, village |
| 174 | traverse:thicket                           | Thicket                 |  0.80 | MEDIUM   | 0.30 | false | false   | WARM       | DENSE, FOREST                                          | stronghold          |
| 175 | traverse:arid_highland                     | Arid Highland           |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HILLS, HOT, MOUNTAIN, SPARSE                      | stronghold, village |
| 176 | traverse:rocky_plains                      | Rocky Plains            |  0.90 | MEDIUM   | 0.70 | false | false   | COOL       | HILLS, PLAINS, SPARSE                                  | stronghold, village |
| 177 | atum:dead_oasis                            | Dead Oasis              |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DEAD, DRY, HOT, RARE, SANDY, SPARSE              | stronghold          |
| 178 | atum:deadwood_forest                       | Deadwood Forest         |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DRY, FOREST, HOT, SANDY, SPARSE                  | stronghold          |
| 179 | atum:dried_river                           | Dried River             |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DRY, HOT, RIVER, SANDY, SPARSE, WATER            |                     |
| 180 | atum:limestone_crags                       | Limestone Crags         |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DRY, HILLS, HOT, RARE, SANDY, SPARSE             | stronghold          |
| 181 | atum:limestone_mountains                   | Limestone Mountains     |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DRY, HOT, MOUNTAIN, SANDY, SPARSE                | stronghold          |
| 182 | atum:oasis                                 | Oasis                   |  2.00 | WARM     | 0.00 | false | false   |            | LUSH, OASIS, RARE, WET                                 | stronghold          |
| 183 | atum:sand_dunes                            | Sand Dunes              |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DRY, HILLS, HOT, SANDY, SPARSE                   | stronghold          |
| 184 | atum:sand_hills                            | Sand Hills              |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DRY, HILLS, HOT, SANDY, SPARSE                   | stronghold          |
| 185 | atum:sand_plains                           | Sand Plains             |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DRY, HOT, PLAINS, SANDY, SPARSE                  | stronghold          |
| 186 | iceandfire:glacier                         | Glacier                 |  0.00 | COLD     | 0.50 |  true | false   | COOL       | COLD, DEAD, SNOWY, SPARSE, WASTELAND                   | stronghold          |
| 187 | netherex:ruthless_sands                    | Ruthless Sands          |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, NETHER, PLAINS, SANDY, SAVANNA               | stronghold          |
| 188 | netherex:fungi_forest                      | Fungi Forest            |  1.10 | WARM     | 0.00 | false | false   |            | COLD, DRY, HOT, MUSHROOM, NETHER, PLAINS, SAVANNA, WET | stronghold          |
| 189 | netherex:torrid_wasteland                  | Torrid Wasteland        |  4.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, NETHER, PLAINS, SAVANNA, WASTELAND           | stronghold          |
| 190 | netherex:arctic_abyss                      | Arctic Abyss            |  0.00 | COLD     | 0.00 | false | false   |            | COLD, DRY, NETHER, PLAINS, WET                         | stronghold          |
| 191 | rats:ratlantis                             | ratlantis               |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, WET                                | stronghold          |
| 192 | thaumicaugmentation:emptiness              | Emptiness               |  0.25 | MEDIUM   | 0.50 | false | false   |            | COLD, SPARSE, SPOOKY, VOID                             | spawn               |
| 193 | thaumicaugmentation:tainted_lands          | Tainted Lands           |  0.25 | MEDIUM   | 0.50 | false | false   |            | COLD, SPOOKY, VOID                                     | spawn               |
| 194 | thaumicaugmentation:emptiness_highlands    | Emptiness Highlands     |  0.25 | MEDIUM   | 0.50 | false | false   |            | COLD, HILLS, MOUNTAIN, SPARSE, SPOOKY, VOID            | spawn, stronghold   |
| 195 | aether_legacy:aether_highlands             | Aether Highlands        |  0.50 | MEDIUM   | 0.00 | false | false   |            | COLD, DRY, MAGICAL, PLAINS, VOID                       | stronghold          |
| 196 | beneath:the_beneath                        | The Beneath             |  0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD                                                   | stronghold          |
| 197 | stygian:stygian_growth                     | Stygian Growth          |  0.50 | MEDIUM   | 0.50 | false | false   |            | END                                                    | stronghold          |
| 198 | stygian:acidic_plains                      | Acidic Plains           |  0.50 | MEDIUM   | 0.50 | false | false   |            | END                                                    | stronghold          |
+-----+--------------------------------------------+-------------------------+-------+----------+------+-------+---------+------------+--------------------------------------------------------+---------------------+
|  ID | Registry name                              | Biome name              | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                   | Valid for           |
+-----+--------------------------------------------+-------------------------+-------+----------+------+-------+---------+------------+--------------------------------------------------------+---------------------+
